Sample,Analyte,Element,HT, ,units,rep,1/4/2023,11:33:08
171962-2,1,Si,1,4.940,mg/L,1,1/4/2023,12:21:55
171962-2,1,Sn,1,0.002,mg/L,1,1/4/2023,12:21:55
171962-2,1,Sr,1,0.04,mg/L,1,1/4/2023,12:21:55
171962-2,1,Ti,1,0.000,mg/L,1,1/4/2023,12:21:55
171962-2,1,V,1,0.001,mg/L,1,1/4/2023,12:21:55
171962-2,1,W,1,0.003,mg/L,1,1/4/2023,12:21:55
171962-2,1,Zn,1,0.0354,mg/L,1,1/4/2023,12:21:55
171949-1,1,Ag,1,0.000,mg/L,1,1/4/2023,12:24:38
171949-1,1,Al,1,0.185,mg/L,1,1/4/2023,12:24:38
171949-1,1,Au,1,Uncal,mg/L,1,1/4/2023,12:24:38
171949-1,1,B,1,0.561,mg/L,1,1/4/2023,12:24:38
171949-1,1,Ba,1,0.0190,mg/L,1,1/4/2023,12:24:38
171949-1,1,Be,1,0.000,mg/L,1,1/4/2023,12:24:38
171949-1,1,Ca,1,97.500,mg/L,1,1/4/2023,12:24:38
171949-1,1,Co,1,0.0008,mg/L,1,1/4/2023,12:24:38
171949-1,1,Cr,1,0.0005,mg/L,1,1/4/2023,12:24:38
171949-1,1,Cu,1,0.081,mg/L,1,1/4/2023,12:24:38
171949-1,1,Fe,1,0.811,mg/L,1,1/4/2023,12:24:38
171949-1,1,K,1,2.64,mg/L,1,1/4/2023,12:24:38
171949-1,1,La,1,Uncal,mg/L,1,1/4/2023,12:24:38
171949-1,1,Mg,1,49.48,mg/L,1,1/4/2023,12:24:38
171949-1,1,Mn,1,0.014,mg/L,1,1/4/2023,12:24:38
171949-1,1,Mo,1,0.003,mg/L,1,1/4/2023,12:24:38
171949-1,1,Na,1,58.10,mg/L,1,1/4/2023,12:24:38
171949-1,1,Ni,1,0.025,mg/L,1,1/4/2023,12:24:38
171949-1,1,P,1,-0.001,mg/L,1,1/4/2023,12:24:38
171949-1,1,S,1,13.19,mg/L,1,1/4/2023,12:24:38
171949-1,1,Sc,1,Uncal,mg/L,1,1/4/2023,12:24:38
171949-1,1,Si,1,13.400,mg/L,1,1/4/2023,12:24:38
171949-1,1,Sn,1,0.006,mg/L,1,1/4/2023,12:24:38
171949-1,1,Sr,1,0.36,mg/L,1,1/4/2023,12:24:38
171949-1,1,Ti,1,0.000,mg/L,1,1/4/2023,12:24:38
171949-1,1,V,1,0.003,mg/L,1,1/4/2023,12:24:38
171949-1,1,W,1,0.001,mg/L,1,1/4/2023,12:24:38
171949-1,1,Zn,1,0.0804,mg/L,1,1/4/2023,12:24:38
171938-1,1,Ag,1,0.000,mg/L,1,1/4/2023,12:27:20
171938-1,1,Al,1,0.182,mg/L,1,1/4/2023,12:27:20
171938-1,1,Au,1,Uncal,mg/L,1,1/4/2023,12:27:20
171938-1,1,B,1,0.549,mg/L,1,1/4/2023,12:27:20
171938-1,1,Ba,1,0.0084,mg/L,1,1/4/2023,12:27:20
171938-1,1,Be,1,0.000,mg/L,1,1/4/2023,12:27:20
171938-1,1,Ca,1,25.200,mg/L,1,1/4/2023,12:27:20
171938-1,1,Co,1,0.0001,mg/L,1,1/4/2023,12:27:20
171938-1,1,Cr,1,0.0001,mg/L,1,1/4/2023,12:27:20
171938-1,1,Cu,1,0.027,mg/L,1,1/4/2023,12:27:20
171938-1,1,Fe,1,0.527,mg/L,1,1/4/2023,12:27:20
171938-1,1,K,1,0.62,mg/L,1,1/4/2023,12:27:20
171938-1,1,La,1,Uncal,mg/L,1,1/4/2023,12:27:20
171938-1,1,Mg,1,6.93,mg/L,1,1/4/2023,12:27:20
171938-1,1,Mn,1,0.006,mg/L,1,1/4/2023,12:27:20
171938-1,1,Mo,1,0.000,mg/L,1,1/4/2023,12:27:20
171938-1,1,Na,1,7.48,mg/L,1,1/4/2023,12:27:20
171938-1,1,Ni,1,0.001,mg/L,1,1/4/2023,12:27:20
171938-1,1,P,1,-0.001,mg/L,1,1/4/2023,12:27:20
171938-1,1,S,1,2.40,mg/L,1,1/4/2023,12:27:20
171938-1,1,Sc,1,Uncal,mg/L,1,1/4/2023,12:27:20
171938-1,1,Si,1,7.680,mg/L,1,1/4/2023,12:27:20
171938-1,1,Sn,1,0.000,mg/L,1,1/4/2023,12:27:20
171938-1,1,Sr,1,0.12,mg/L,1,1/4/2023,12:27:20
171938-1,1,Ti,1,0.001,mg/L,1,1/4/2023,12:27:20
171938-1,1,V,1,0.001,mg/L,1,1/4/2023,12:27:20
171938-1,1,W,1,0.002,mg/L,1,1/4/2023,12:27:20
171938-1,1,Zn,1,0.0672,mg/L,1,1/4/2023,12:27:20
171951-1,1,Ag,1,0.000,mg/L,1,1/4/2023,12:30:03
171951-1,1,Al,1,0.185,mg/L,1,1/4/2023,12:30:03
171951-1,1,Au,1,Uncal,mg/L,1,1/4/2023,12:30:03
171951-1,1,B,1,0.642,mg/L,1,1/4/2023,12:30:03
171951-1,1,Ba,1,0.0041,mg/L,1,1/4/2023,12:30:03
171951-1,1,Be,1,0.000,mg/L,1,1/4/2023,12:30:03
171951-1,1,Ca,1,34.300,mg/L,1,1/4/2023,12:30:03
171951-1,1,Co,1,0.0003,mg/L,1,1/4/2023,12:30:03
171951-1,1,Cr,1,-0.0001,mg/L,1,1/4/2023,12:30:03
171951-1,1,Cu,1,0.001,mg/L,1,1/4/2023,12:30:03
171951-1,1,Fe,1,0.284,mg/L,1,1/4/2023,12:30:03
171951-1,1,K,1,0.26,mg/L,1,1/4/2023,12:30:03
171951-1,1,La,1,Uncal,mg/L,1,1/4/2023,12:30:03
171951-1,1,Mg,1,6.83,mg/L,1,1/4/2023,12:30:03
171951-1,1,Mn,1,0.022,mg/L,1,1/4/2023,12:30:03
